rule,quote_date,expiration,option_type,strike,k1,k2,k3,bid_k1,ask_k2,bid_k3,slope_left,slope_right,detail
convexity,2025-10-01,2025-10-01,call,668.0,667.0,668.0,669.0,1.79,0.89,0.21,-0.9,-0.68,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-01,call,669.0,668.0,669.0,670.0,0.86,0.22,0.02,-0.64,-0.2,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-01,call,670.0,669.0,670.0,671.0,0.21,0.03,0.01,-0.18,-0.019999999999999997,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-01,put,667.0,666.0,667.0,668.0,0.01,0.03,0.08,0.019999999999999997,0.05,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-01,put,668.0,667.0,668.0,669.0,0.02,0.09,0.42,0.06999999999999999,0.32999999999999996,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-01,put,669.0,668.0,669.0,670.0,0.08,0.43,1.19,0.35,0.76,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-01,put,670.0,669.0,670.0,671.0,0.42,1.27,2.17,0.8500000000000001,0.8999999999999999,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,call,667.0,666.0,667.0,668.0,3.45,2.67,1.91,-0.7800000000000002,-0.76,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,call,668.0,667.0,668.0,669.0,2.64,1.93,1.28,-0.7100000000000002,-0.6499999999999999,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,call,669.0,668.0,669.0,670.0,1.91,1.29,0.78,-0.6199999999999999,-0.51,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,call,670.0,669.0,670.0,671.0,1.28,0.79,0.44,-0.49,-0.35000000000000003,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,call,671.0,670.0,671.0,672.0,0.78,0.45,0.22,-0.33,-0.23,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,call,672.0,671.0,672.0,673.0,0.44,0.23,0.11,-0.21,-0.12000000000000001,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,call,673.0,672.0,673.0,674.0,0.22,0.12,0.06,-0.1,-0.06,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,put,664.0,663.0,664.0,665.0,0.31,0.38,0.47,0.07,0.08999999999999997,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,put,665.0,664.0,665.0,666.0,0.37,0.48,0.6,0.10999999999999999,0.12,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,put,666.0,665.0,666.0,667.0,0.47,0.61,0.78,0.14,0.17000000000000004,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,put,667.0,666.0,667.0,668.0,0.6,0.79,1.04,0.19000000000000006,0.25,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,put,668.0,667.0,668.0,669.0,0.78,1.05,1.4,0.27,0.34999999999999987,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,put,669.0,668.0,669.0,670.0,1.04,1.41,1.91,0.3699999999999999,0.5,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,put,670.0,669.0,670.0,671.0,1.4,1.93,2.55,0.53,0.6199999999999999,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,put,671.0,670.0,671.0,672.0,1.91,2.59,3.32,0.6799999999999999,0.73,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,call,667.0,666.0,667.0,668.0,4.25,3.51,2.78,-0.7400000000000002,-0.73,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,call,668.0,667.0,668.0,669.0,3.48,2.8,2.14,-0.6800000000000002,-0.6599999999999997,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,call,669.0,668.0,669.0,670.0,2.78,2.16,1.59,-0.6199999999999997,-0.5700000000000001,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,call,670.0,669.0,670.0,671.0,2.14,1.6,1.13,-0.54,-0.4700000000000002,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,call,671.0,670.0,671.0,672.0,1.59,1.14,0.76,-0.4500000000000002,-0.3799999999999999,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,call,672.0,671.0,672.0,673.0,1.13,0.77,0.49,-0.3599999999999999,-0.28,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,call,673.0,672.0,673.0,674.0,0.76,0.5,0.3,-0.26,-0.2,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,call,674.0,673.0,674.0,675.0,0.49,0.31,0.18,-0.18,-0.13,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,call,675.0,674.0,675.0,676.0,0.3,0.19,0.1,-0.10999999999999999,-0.09,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,call,676.0,675.0,676.0,677.0,0.18,0.11,0.06,-0.06999999999999999,-0.05,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,put,663.0,662.0,663.0,664.0,0.61,0.71,0.82,0.09999999999999998,0.10999999999999999,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,put,665.0,664.0,665.0,666.0,0.82,0.97,1.15,0.15000000000000002,0.17999999999999994,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,put,666.0,665.0,666.0,667.0,0.96,1.16,1.38,0.19999999999999996,0.21999999999999997,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,put,667.0,666.0,667.0,668.0,1.15,1.39,1.67,0.24,0.28,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,put,668.0,667.0,668.0,669.0,1.38,1.68,2.04,0.30000000000000004,0.3600000000000001,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,put,669.0,668.0,669.0,670.0,1.67,2.05,2.49,0.3799999999999999,0.4400000000000004,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,put,670.0,669.0,670.0,671.0,2.04,2.51,3.03,0.46999999999999975,0.52,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-03,put,671.0,670.0,671.0,672.0,2.49,3.07,3.68,0.5799999999999996,0.6100000000000003,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,call,668.0,667.0,668.0,669.0,4.12,3.45,2.8,-0.6699999999999999,-0.6500000000000004,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,call,669.0,668.0,669.0,670.0,3.43,2.82,2.23,-0.6100000000000003,-0.5899999999999999,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,call,670.0,669.0,670.0,671.0,2.8,2.25,1.73,-0.5499999999999998,-0.52,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,call,671.0,670.0,671.0,672.0,2.23,1.74,1.3,-0.49,-0.43999999999999995,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,call,672.0,671.0,672.0,673.0,1.73,1.31,0.95,-0.41999999999999993,-0.3600000000000001,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,call,673.0,672.0,673.0,674.0,1.3,0.96,0.66,-0.3400000000000001,-0.29999999999999993,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,call,674.0,673.0,674.0,675.0,0.95,0.67,0.45,-0.2799999999999999,-0.22000000000000003,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,call,675.0,674.0,675.0,676.0,0.66,0.46,0.29,-0.2,-0.17000000000000004,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,call,676.0,675.0,676.0,677.0,0.45,0.3,0.18,-0.15000000000000002,-0.12,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,call,677.0,676.0,677.0,678.0,0.29,0.19,0.11,-0.09999999999999998,-0.08,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,call,679.0,678.0,679.0,680.0,0.11,0.07,0.04,-0.039999999999999994,-0.030000000000000006,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,put,660.0,659.0,660.0,661.0,0.71,0.79,0.88,0.08000000000000007,0.08999999999999997,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,put,662.0,661.0,662.0,663.0,0.88,0.99,1.11,0.10999999999999999,0.1200000000000001,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,put,663.0,662.0,663.0,664.0,0.98,1.12,1.27,0.14000000000000012,0.1499999999999999,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,put,665.0,664.0,665.0,666.0,1.27,1.46,1.67,0.18999999999999995,0.20999999999999996,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,put,667.0,666.0,667.0,668.0,1.67,1.95,2.24,0.28,0.29000000000000026,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,put,668.0,667.0,668.0,669.0,1.93,2.26,2.61,0.32999999999999985,0.3500000000000001,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,put,669.0,668.0,669.0,670.0,2.24,2.63,3.04,0.3899999999999997,0.41000000000000014,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,put,670.0,669.0,670.0,671.0,2.61,3.06,3.54,0.4500000000000002,0.48,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-06,put,671.0,670.0,671.0,672.0,3.04,3.57,4.11,0.5299999999999998,0.5400000000000005,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-07,call,669.0,668.0,669.0,670.0,3.95,3.34,2.74,-0.6100000000000003,-0.5999999999999996,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-07,call,670.0,669.0,670.0,671.0,3.32,2.76,2.22,-0.56,-0.5399999999999996,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-07,call,671.0,670.0,671.0,672.0,2.74,2.24,1.76,-0.5,-0.4800000000000002,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-07,call,672.0,671.0,672.0,673.0,2.22,1.77,1.36,-0.4500000000000002,-0.4099999999999999,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-07,call,673.0,672.0,673.0,674.0,1.76,1.37,1.02,-0.3899999999999999,-0.3500000000000001,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-07,call,674.0,673.0,674.0,675.0,1.36,1.03,0.75,-0.33000000000000007,-0.28,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-07,call,675.0,674.0,675.0,676.0,1.02,0.76,0.53,-0.26,-0.22999999999999998,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-07,call,676.0,675.0,676.0,677.0,0.75,0.54,0.36,-0.20999999999999996,-0.18000000000000005,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-07,call,677.0,676.0,677.0,678.0,0.53,0.37,0.24,-0.16000000000000003,-0.13,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-07,call,678.0,677.0,678.0,679.0,0.36,0.25,0.16,-0.10999999999999999,-0.09,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-07,put,663.0,662.0,663.0,664.0,1.3,1.46,1.63,0.15999999999999992,0.16999999999999993,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-07,put,665.0,664.0,665.0,666.0,1.63,1.85,2.08,0.2200000000000002,0.22999999999999998,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-07,put,668.0,667.0,668.0,669.0,2.36,2.7,3.05,0.3400000000000003,0.34999999999999964,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-07,put,669.0,668.0,669.0,670.0,2.68,3.07,3.47,0.3899999999999997,0.40000000000000036,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-07,put,670.0,669.0,670.0,671.0,3.05,3.49,3.95,0.4400000000000004,0.45999999999999996,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-08,call,670.0,669.0,670.0,671.0,3.84,3.28,2.73,-0.56,-0.5499999999999998,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-08,call,672.0,671.0,672.0,673.0,2.73,2.26,1.82,-0.4700000000000002,-0.4399999999999997,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-08,call,673.0,672.0,673.0,674.0,2.24,1.83,1.44,-0.41000000000000014,-0.3900000000000001,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-08,call,674.0,673.0,674.0,675.0,1.82,1.46,1.12,-0.3600000000000001,-0.33999999999999986,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-08,call,675.0,674.0,675.0,676.0,1.44,1.14,0.86,-0.30000000000000004,-0.2799999999999999,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-08,call,676.0,675.0,676.0,677.0,1.12,0.87,0.64,-0.2500000000000001,-0.22999999999999998,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-08,call,677.0,676.0,677.0,678.0,0.86,0.65,0.46,-0.20999999999999996,-0.19,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-08,call,678.0,677.0,678.0,679.0,0.64,0.47,0.33,-0.17000000000000004,-0.13999999999999996,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-08,call,679.0,678.0,679.0,680.0,0.46,0.34,0.23,-0.12,-0.11000000000000001,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-08,call,681.0,680.0,681.0,682.0,0.23,0.16,0.11,-0.07,-0.05,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-08,put,668.0,667.0,668.0,669.0,2.79,3.14,3.5,0.3500000000000001,0.3599999999999999,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-08,put,670.0,669.0,670.0,671.0,3.5,3.94,4.39,0.43999999999999995,0.44999999999999973,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-09,call,673.0,672.0,673.0,674.0,2.71,2.28,1.86,-0.43000000000000016,-0.4199999999999997,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-09,call,674.0,673.0,674.0,675.0,2.26,1.88,1.51,-0.3799999999999999,-0.3699999999999999,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-09,call,675.0,674.0,675.0,676.0,1.86,1.53,1.21,-0.33000000000000007,-0.32000000000000006,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-09,call,676.0,675.0,676.0,677.0,1.51,1.22,0.95,-0.29000000000000004,-0.27,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-09,call,677.0,676.0,677.0,678.0,1.21,0.96,0.73,-0.25,-0.22999999999999998,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-09,call,680.0,679.0,680.0,681.0,0.55,0.42,0.3,-0.13000000000000006,-0.12,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-09,call,681.0,680.0,681.0,682.0,0.41,0.31,0.22,-0.09999999999999998,-0.09,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-09,call,690.0,688.0,690.0,695.0,0.04,0.03,0.01,-0.005000000000000001,-0.003999999999999999,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-10,call,672.0,671.0,672.0,673.0,3.85,3.35,2.86,-0.5,-0.4900000000000002,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-10,call,674.0,673.0,674.0,675.0,2.86,2.44,2.03,-0.41999999999999993,-0.41000000000000014,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-10,call,676.0,675.0,676.0,677.0,2.03,1.7,1.38,-0.32999999999999985,-0.32000000000000006,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-10,call,678.0,677.0,678.0,679.0,1.38,1.13,0.89,-0.25,-0.23999999999999988,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-10,call,679.0,678.0,679.0,680.0,1.12,0.91,0.71,-0.21000000000000008,-0.20000000000000007,discrete convexity violated even with best-case bounds
