quote_date,expiration,strike_low,strike_high,price_low,price_high,violation,rule
2025-10-02,2025-10-06,755.0,760.0,0.00749950777635169,0.008124702173217856,0.0006251943968661657,monotonicity
2025-10-02,2025-10-07,755.0,760.0,0.00749950777635169,0.008124702173217856,0.0006251943968661657,monotonicity
2025-10-02,2025-10-08,705.0,710.0,0.009442299929295187,0.01,0.000557700070704813,monotonicity
2025-10-02,2025-10-08,750.0,755.0,0.007499740821448471,0.0077644614743277085,0.0002647206528792372,monotonicity
2025-10-02,2025-10-08,755.0,760.0,0.0077644614743277085,0.008124702173217856,0.00036024069889014753,monotonicity
2025-10-02,2025-10-08,760.0,765.0,0.008124702173217856,0.009147771318035645,0.0010230691448177894,monotonicity
2025-10-02,2025-10-09,705.0,710.0,0.009442299929295187,0.009998910742049404,0.0005566108127542171,monotonicity
2025-10-02,2025-10-09,750.0,755.0,0.007499740821448471,0.0077644614743277085,0.0002647206528792372,monotonicity
2025-10-02,2025-10-09,755.0,760.0,0.0077644614743277085,0.008124702173217856,0.00036024069889014753,monotonicity
2025-10-02,2025-10-10,760.0,765.0,0.008310587135402807,0.009147771318035645,0.0008371841826328389,monotonicity
2025-10-03,2025-10-10,765.0,770.0,0.006221373632115635,0.00999999999999649,0.003778626367880856,monotonicity
2025-10-07,2025-10-09,750.0,755.0,0.006399550399008214,0.00723489263755216,0.0008353422385439461,monotonicity
2025-10-07,2025-10-10,750.0,755.0,0.006399550399008214,0.00723489263755216,0.0008353422385439461,monotonicity
2025-10-07,2025-10-13,750.0,755.0,0.006399550399008214,0.00723489263755216,0.0008353422385439461,monotonicity
2025-10-07,2025-10-14,750.0,755.0,0.006399550399008214,0.00723489263755216,0.0008353422385439461,monotonicity
2025-10-08,2025-10-10,770.0,780.0,0.005928889154966032,0.007888574411235793,0.0019596852562697607,monotonicity
2025-10-08,2025-10-17,760.0,765.0,0.005834829225639415,0.00601633218082582,0.00018150295518640485,monotonicity
2025-10-08,2025-10-17,770.0,775.0,0.005928889154966032,0.007446950350931544,0.0015180611959655123,monotonicity
2025-10-08,2025-10-17,775.0,780.0,0.007446950350931544,0.007888574411235793,0.0004416240603042484,monotonicity
2025-10-10,2025-10-17,770.0,775.0,0.008871670880964147,0.009989644780599344,0.0011179738996351975,monotonicity
2025-10-10,2025-10-23,760.0,765.0,0.012026162059360657,0.013197581698840546,0.0011714196394798891,monotonicity
2025-10-10,2025-10-24,760.0,765.0,0.012026162059360657,0.013197581698840546,0.0011714196394798891,monotonicity
2025-10-13,2025-10-15,760.0,765.0,0.006393522682099037,0.0072508704681169866,0.0008573477860179491,monotonicity
2025-10-13,2025-10-16,760.0,765.0,0.006393522682099037,0.0072508704681169866,0.0008573477860179491,monotonicity
2025-10-13,2025-10-17,760.0,765.0,0.006393522682099037,0.0072508704681169866,0.0008573477860179491,monotonicity
2025-10-13,2025-10-20,760.0,765.0,0.006393522682099037,0.0072508704681169866,0.0008573477860179491,monotonicity
2025-10-13,2025-10-21,760.0,765.0,0.006393522682099037,0.0072508704681169866,0.0008573477860179491,monotonicity
2025-10-13,2025-10-22,760.0,765.0,0.006393522682099037,0.0072508704681169866,0.0008573477860179491,monotonicity
2025-10-13,2025-10-23,760.0,765.0,0.006393522682099037,0.0072508704681169866,0.0008573477860179491,monotonicity
2025-10-13,2025-10-24,745.0,750.0,0.006779731652812699,0.007133124664346433,0.0003533930115337345,monotonicity
2025-10-13,2025-10-24,760.0,765.0,0.006457998860016538,0.0072508704681169866,0.0007928716081004481,monotonicity
2025-10-14,2025-10-15,760.0,765.0,0.006427820975146116,0.0070149427799047785,0.0005871218047586628,monotonicity
2025-10-14,2025-10-16,760.0,765.0,0.006427820975146116,0.0070149427799047785,0.0005871218047586628,monotonicity
2025-10-14,2025-10-17,702.0,703.0,0.00956515836825882,0.01,0.00043484163174118025,monotonicity
2025-10-14,2025-10-17,760.0,765.0,0.006427820975146116,0.0070149427799047785,0.0005871218047586628,monotonicity
2025-10-14,2025-10-17,770.0,775.0,0.006117008653643644,0.008446797375369075,0.0023297887217254313,monotonicity
2025-10-14,2025-10-17,780.0,785.0,0.007708292759857738,0.009999999999612512,0.002291707239754774,monotonicity
2025-10-14,2025-10-20,687.0,688.0,0.019506499535086985,0.02,0.0004935004649130152,monotonicity
2025-10-14,2025-10-20,760.0,765.0,0.006427820975146116,0.0070149427799047785,0.0005871218047586628,monotonicity
2025-10-14,2025-10-21,687.0,688.0,0.019506499535086985,0.01999800720572841,0.0004915076706414265,monotonicity
2025-10-14,2025-10-21,760.0,765.0,0.006427820975146116,0.0070149427799047785,0.0005871218047586628,monotonicity
2025-10-14,2025-10-22,760.0,765.0,0.006427820975146116,0.0070149427799047785,0.0005871218047586628,monotonicity
2025-10-14,2025-10-23,760.0,765.0,0.006427820975146116,0.0070149427799047785,0.0005871218047586628,monotonicity
2025-10-14,2025-10-24,760.0,765.0,0.0068365696671867544,0.0070149427799047785,0.00017837311271802405,monotonicity
2025-10-14,2025-10-24,770.0,780.0,0.006666694961760369,0.007708292759857738,0.0010415977980973686,monotonicity
2025-10-15,2025-10-17,760.0,765.0,0.005999447449311374,0.006166496769024876,0.00016704931971350204,monotonicity
2025-10-15,2025-10-17,770.0,775.0,0.005598490947942168,0.008315125276366938,0.00271663432842477,monotonicity
2025-10-15,2025-10-17,780.0,785.0,0.007891041162257374,0.009999999999996479,0.002108958837739105,monotonicity
2025-10-15,2025-10-20,760.0,765.0,0.005999447449311374,0.006166496769024876,0.00016704931971350204,monotonicity
2025-10-15,2025-10-21,760.0,765.0,0.005999447449311374,0.006166496769024876,0.00016704931971350204,monotonicity
2025-10-15,2025-10-22,760.0,765.0,0.005999447449311374,0.006166496769024876,0.00016704931971350204,monotonicity
2025-10-15,2025-10-23,760.0,765.0,0.005999447449311374,0.006166496769024876,0.00016704931971350204,monotonicity
2025-10-15,2025-10-24,770.0,780.0,0.00596029571789549,0.007891041162257374,0.0019307454443618843,monotonicity
2025-10-16,2025-10-20,694.0,695.0,0.009420744504305389,0.01,0.0005792554956946111,monotonicity
2025-10-16,2025-10-20,760.0,765.0,0.006249262812559631,0.007186882540045688,0.0009376197274860573,monotonicity
2025-10-16,2025-10-21,694.0,695.0,0.009420744504305389,0.009998295905961362,0.0005775514016559732,monotonicity
2025-10-16,2025-10-21,760.0,765.0,0.006249262812559631,0.007186882540045688,0.0009376197274860573,monotonicity
2025-10-16,2025-10-22,760.0,765.0,0.006249262812559631,0.007186882540045688,0.0009376197274860573,monotonicity
2025-10-16,2025-10-23,760.0,765.0,0.006249262812559631,0.007186882540045688,0.0009376197274860573,monotonicity
2025-10-22,2025-10-30,760.0,765.0,0.007500026763775831,0.008229852796964669,0.0007298260331888382,monotonicity
2025-10-22,2025-10-31,760.0,765.0,0.007500026763775831,0.008229852796964669,0.0007298260331888382,monotonicity
2025-10-22,2025-10-31,770.0,780.0,0.0074994545381562435,0.008040996493878683,0.0005415419557224391,monotonicity
2025-10-22,2025-11-03,760.0,765.0,0.007500026763775831,0.008229852796964669,0.0007298260331888382,monotonicity
2025-10-22,2025-11-04,760.0,765.0,0.007500026763775831,0.008229852796964669,0.0007298260331888382,monotonicity
2025-10-23,2025-11-04,760.0,765.0,0.014281896634563751,0.014652235447801783,0.00037033881323803204,monotonicity
2025-10-23,2025-11-05,760.0,765.0,0.014281896634563751,0.014652235447801783,0.00037033881323803204,monotonicity
2025-10-23,2025-11-07,760.0,765.0,0.014281896634563751,0.014652235447801783,0.00037033881323803204,monotonicity
2025-10-24,2025-10-30,760.0,765.0,0.007957688529595029,0.008798886950937689,0.00084119842134266,monotonicity
2025-10-24,2025-10-31,760.0,765.0,0.007957688529595029,0.008798886950937689,0.00084119842134266,monotonicity
